,city_x,state_x,population_x,county_x,latitude_x,longitude_x,city_y,state_y,county_y,latitude_y,longitude_y,population_y,sim
38353,Kodiak Station,Alaska,2183,Kodiak Island,57.745,-152.5442,Kodiak,Alaska,Kodiak Island,57.781967,-152.500169,,True
38943,Kongiganak,Alaska,470,Bethel,59.9858,-162.8544,Aniak,Alaska,Bethel,61.691648,-157.758502,,True
39041,Kongiganak,Alaska,470,Bethel,59.9858,-162.8544,Kongiganak,Alaska,Bethel,60.9888,-149.4116,,True
39271,Kotlik,Alaska,1247,Kusilvak,63.0305,-163.553,Kotlik,Alaska,Kusilvak,63.029471,-163.554153,,True
39497,Kotzebue,Alaska,3199,Northwest Arctic,66.8766,-162.5231,Kobuk,Alaska,Northwest Arctic,66.912253,-157.066864,,True
39501,Kotzebue,Alaska,3199,Northwest Arctic,66.8766,-162.5231,Kotzebue,Alaska,Northwest Arctic,66.846459,-162.126493,,True
39731,Koyuk,Alaska,276,Nome,64.9411,-161.1454,Koyuk,Alaska,Nome,64.931668,-161.149957,,True
39961,Koyukuk,Alaska,57,Yukon-Koyukuk,64.9008,-157.6946,Koyukuk,Alaska,Yukon Koyukuk,64.883333,-157.7,,True
40325,Kwethluk,Alaska,425,Bethel,60.7978,-161.4147,Bethel,Alaska,Bethel,60.832389,-161.824053,,True
40420,Kwethluk,Alaska,425,Bethel,60.7978,-161.4147,Kwethluk,Alaska,Bethel,60.771814,-161.38849,,True
40650,Kwigillingok,Alaska,470,Bethel,59.8767,-163.1715,Kwigillingok,Alaska,Bethel,59.881022,-162.984938,,True
41109,Lake Minchumina,Alaska,15,Yukon-Koyukuk,63.7981,-152.3446,Lake Minchumina,Alaska,Yukon Koyukuk,63.903884,-152.430081,,True
41339,Larsen Bay,Alaska,24,Kodiak Island,57.5404,-154.0056,Larsen Bay,Alaska,Kodiak Island,57.538333,-153.98,,True
41798,Levelock,Alaska,34,Lake and Peninsula,59.0683,-156.9009,Levelock,Alaska,Lake And Peninsula,59.371395,-154.976815,,True
